WARNING: A restricted method in java.lang.System has been called
WARNING: java.lang.System::load has been called by com.sun.jna.Native in an unnamed module (file:/nb5.jar)
WARNING: Use --enable-native-access=ALL-UNNAMED to avoid a warning for callers in this module
WARNING: Restricted methods will be blocked in a future release unless native access is enabled

WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by com.datastax.oss.driver.shaded.guava.common.util.concurrent.AbstractFuture$UnsafeAtomicHelper (file:/nb5.jar)
WARNING: Please consider reporting this to the maintainers of class com.datastax.oss.driver.shaded.guava.common.util.concurrent.AbstractFuture$UnsafeAtomicHelper
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
main (pending,current,complete)=(46856330,160,53143510) 53.14%
main (pending,current,complete)=(46399702,160,53600138) 53.60%
main (pending,current,complete)=(45919540,159,54080301) 54.08%
main (pending,current,complete)=(45427808,160,54572032) 54.57%
main (pending,current,complete)=(44954315,159,55045526) 55.05%
main (pending,current,complete)=(44470843,160,55528997) 55.53%
main (pending,current,complete)=(44000071,158,55999772) 56.00%
main (pending,current,complete)=(43529220,159,56470621) 56.47%
main (pending,current,complete)=(43044384,160,56955456) 56.96%
main (pending,current,complete)=(42539828,160,57460012) 57.46%
main (pending,current,complete)=(42026270,157,57973574) 57.97%
main (pending,current,complete)=(41521171,158,58478671) 58.48%
main (pending,current,complete)=(41018074,160,58981766) 58.98%
main (pending,current,complete)=(40532316,159,59467525) 59.47%
main (pending,current,complete)=(40023755,160,59976085) 59.98%
main (pending,current,complete)=(39506209,159,60493632) 60.49%
main (pending,current,complete)=(38986057,159,61013787) 61.01%
main (pending,current,complete)=(38472369,160,61527472) 61.53%
main (pending,current,complete)=(37969101,159,62030742) 62.03%
main (pending,current,complete)=(37475339,159,62524502) 62.52%
main (pending,current,complete)=(36963470,160,63036372) 63.04%
main (pending,current,complete)=(36441218,159,63558625) 63.56%
main (pending,current,complete)=(35916657,159,64083184) 64.08%
main (pending,current,complete)=(35382951,158,64616892) 64.62%
main (pending,current,complete)=(34867557,158,65132286) 65.13%
main (pending,current,complete)=(34364745,160,65635096) 65.64%
main (pending,current,complete)=(33850345,158,66149499) 66.15%
main (pending,current,complete)=(33344762,160,66655078) 66.66%
main (pending,current,complete)=(32826067,160,67173773) 67.17%
main (pending,current,complete)=(32301909,160,67697931) 67.70%
main (pending,current,complete)=(31797165,158,68202680) 68.20%
main (pending,current,complete)=(31286153,160,68713688) 68.71%
main (pending,current,complete)=(30765958,159,69233883) 69.23%
main (pending,current,complete)=(30238734,159,69761108) 69.76%
main (pending,current,complete)=(29723896,160,70275947) 70.28%
main (pending,current,complete)=(29200803,160,70799037) 70.80%
main (pending,current,complete)=(28692348,157,71307495) 71.31%
main (pending,current,complete)=(28188029,157,71811814) 71.81%
main (pending,current,complete)=(27685406,159,72314436) 72.31%
main (pending,current,complete)=(27182020,158,72817822) 72.82%
main (pending,current,complete)=(26678894,158,73320950) 73.32%
main (pending,current,complete)=(26169234,160,73830606) 73.83%
main (pending,current,complete)=(25663175,158,74336668) 74.34%
main (pending,current,complete)=(25180878,160,74818966) 74.82%
main (pending,current,complete)=(24692932,156,75306912) 75.31%
main (pending,current,complete)=(24198090,159,75801752) 75.80%
main (pending,current,complete)=(23712443,158,76287402) 76.29%
main (pending,current,complete)=(23219277,160,76780565) 76.78%
main (pending,current,complete)=(22735801,159,77264040) 77.26%
main (pending,current,complete)=(22254661,160,77745179) 77.75%
main (pending,current,complete)=(21769670,159,78230174) 78.23%
main (pending,current,complete)=(21269284,159,78730557) 78.73%
main (pending,current,complete)=(20780511,160,79219329) 79.22%
main (pending,current,complete)=(20300946,160,79698896) 79.70%
main (pending,current,complete)=(19823793,160,80176047) 80.18%
main (pending,current,complete)=(19340530,160,80659310) 80.66%
main (pending,current,complete)=(18856932,159,81142911) 81.14%
main (pending,current,complete)=(18352411,159,81647433) 81.65%
main (pending,current,complete)=(17857419,160,82142421) 82.14%
main (pending,current,complete)=(17352543,160,82647299) 82.65%
main (pending,current,complete)=(16852122,160,83147718) 83.15%
main (pending,current,complete)=(16332406,158,83667436) 83.67%
main (pending,current,complete)=(15819883,159,84179962) 84.18%
main (pending,current,complete)=(15312358,160,84687482) 84.69%
main (pending,current,complete)=(14802841,158,85197003) 85.20%
main (pending,current,complete)=(14305957,159,85693884) 85.69%
main (pending,current,complete)=(13815853,159,86183988) 86.18%
main (pending,current,complete)=(13321563,159,86678278) 86.68%
main (pending,current,complete)=(12830569,160,87169271) 87.17%
main (pending,current,complete)=(12323370,160,87676470) 87.68%
main (pending,current,complete)=(11794663,160,88205177) 88.21%
main (pending,current,complete)=(11292866,159,88706976) 88.71%
main (pending,current,complete)=(10780609,160,89219231) 89.22%
main (pending,current,complete)=(10276404,160,89723437) 89.72%
main (pending,current,complete)=(9763273,159,90236568) 90.24%
main (pending,current,complete)=(9264034,158,90735808) 90.74%
main (pending,current,complete)=(8765030,160,91234810) 91.23%
main (pending,current,complete)=(8277342,158,91722500) 91.72%
main (pending,current,complete)=(7795158,160,92204684) 92.20%
main (pending,current,complete)=(7301727,158,92698115) 92.70%
main (pending,current,complete)=(6793510,160,93206331) 93.21%
main (pending,current,complete)=(6283052,159,93716790) 93.72%
main (pending,current,complete)=(5776004,157,94223839) 94.22%
main (pending,current,complete)=(5269687,158,94730155) 94.73%
main (pending,current,complete)=(4752014,160,95247826) 95.25%
main (pending,current,complete)=(4247393,159,95752450) 95.75%
main (pending,current,complete)=(3741039,158,96258804) 96.26%
main (pending,current,complete)=(3242287,160,96757554) 96.76%
main (pending,current,complete)=(2750414,159,97249427) 97.25%
main (pending,current,complete)=(2263938,160,97735906) 97.74%
main (pending,current,complete)=(1771368,160,98228473) 98.23%
main (pending,current,complete)=(1278310,160,98721530) 98.72%
main (pending,current,complete)=(781185,160,99218656) 99.22%
main (pending,current,complete)=(289895,159,99709946) 99.71%
main (pending,current,complete)=(0,0,100000000) 100.00% (last report)
10/21/25, 10:39:57 AM ==========================================================

-- Gauges ----------------------------------------------------------------------
{activity="schema",container="default.schema",instance="default",jobname="nosqlbench",name="error_rate_total",node="10.100.9.50",scenario="default.schema",session="oD6hVXi",workload="fraud_detection"}
             value = 0.0
{activity="schema",container="default.schema",instance="default",jobname="nosqlbench",name="error_rate_5m",node="10.100.9.50",scenario="default.schema",session="oD6hVXi",workload="fraud_detection"}
             value = 0.0
